物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
JZ8林森南京整層商辦,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,44.0,0,1.0,2.0,1.0,1.0,0,12.0,6.0,6.0,1.0,0,1,0,0,0
B9中山陽光小資美宅,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,68.0,0,1.0,,1.0,1.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
316長春基泰絕版4米5,長春路,1,0,0,0,0,0,0,0,0,0,0,0,94.0,0,3.0,1.0,1.0,3.0,0,10.0,4.0,4.0,1.0,0,0,0,0,0
南京復興七年挑高面公園宅,合江街,1,0,0,0,0,0,0,0,0,0,0,0,118.0,0,,,,,0,11.0,11.0,11.0,1.0,0,1,0,0,0
辦公大樓獨立產權車位,民生東路一段,1,0,0,0,0,0,0,0,0,0,0,0,95.0,1,,,,,0,12.0,7.0,7.0,1.0,0,1,0,0,0
H9榮星花園方正公寓,五常街,1,0,0,0,0,0,0,0,0,0,0,0,168.0,0,4.0,2.0,2.0,4.0,0,5.0,4.0,4.0,1.0,1,0,0,0,0
DZ2中山國小2房含陽台明火廚房,新生北路三段,1,0,0,0,0,0,0,0,0,0,0,0,191.0,0,2.0,2.0,1.0,2.0,0,11.0,3.0,3.0,1.0,0,1,0,0,0
BZ5中山國小捷運約5分鐘,農安街,1,0,0,0,0,0,0,0,0,0,0,0,213.0,0,1.0,1.0,1.0,1.0,0,10.0,5.0,5.0,1.0,0,1,0,0,0
中山區車位,德惠街,1,0,0,0,0,0,0,0,0,0,0,0,235.0,1,,,,,0,12.0,-2.0,-2.0,1.0,0,0,0,0,0
松江南京庭院一樓,松江路,1,0,0,0,0,0,0,0,0,0,0,0,255.0,0,2.0,2.0,1.0,2.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
A8忠泰繪低奢新寓所,德惠街,1,0,0,0,0,0,0,0,0,0,0,0,43.0,0,1.0,1.0,1.0,1.0,0,13.0,8.0,8.0,1.0,0,1,0,0,0
佳元松江捷運兩房,松江路,1,0,0,0,0,0,0,0,0,0,0,0,72.0,0,2.0,1.0,1.0,2.0,0,10.0,4.0,4.0,1.0,0,1,0,0,0
BZ9晶華商圈低總首選,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,97.0,0,1.0,1.0,1.0,1.0,0,12.0,9.0,9.0,1.0,0,1,0,0,0
BZ9獨家北市低總小金雞,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,114.0,0,1.0,,1.0,1.0,0,12.0,9.0,9.0,1.0,0,1,0,0,0
BZ8中山國小捷運美妝收租寶,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,134.0,0,1.0,1.0,1.0,1.0,0,12.0,4.0,4.0,1.0,0,0,0,0,0
新生公園景觀三樓,民族東路,1,0,0,0,0,0,0,0,0,0,0,0,158.0,0,3.0,2.0,1.0,3.0,0,3.0,3.0,3.0,1.0,0,1,0,0,0
D2雙連捷運電梯兩房,民生東路一段,1,0,0,0,0,0,0,0,0,0,0,0,178.0,0,2.0,1.0,1.0,2.0,0,12.0,11.0,11.0,1.0,0,1,0,0,0
